backbone,tsk_pretext,d_pretext,head_pred,ft_strategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,1.0,accuracy,0.7430555555555555
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,1.0,accuracy,0.6527777777777777
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,1.0,accuracy,0.7453703703703703
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,1.0,accuracy,0.6481481481481483
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,1.0,accuracy,0.6712962962962963
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,1.0,accuracy,0.7175925925925926
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,0.1,accuracy,0.30092592592592593
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,0.1,accuracy,0.25
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,0.1,accuracy,0.3101851851851852
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,0.1,accuracy,0.2407407407407407
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,0.1,accuracy,0.2824074074074074
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,0.1,accuracy,0.2800925925925926
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,0.01,accuracy,0.19675925925925927
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,0.01,accuracy,0.19444444444444442
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,0.01,accuracy,0.19675925925925927
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,0.01,accuracy,0.19444444444444442
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,0.01,accuracy,0.17361111111111113
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,0.01,accuracy,0.1921296296296296
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,0.5,accuracy,0.5763888888888888
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,0.5,accuracy,0.6273148148148148
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,0.5,accuracy,0.5671296296296297
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,0.5,accuracy,0.6087962962962963
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,0.5,accuracy,0.6342592592592592
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,0.5,accuracy,0.6064814814814815
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,1.0,accuracy,0.7106481481481483
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,1.0,accuracy,0.7731481481481483
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,1.0,accuracy,0.6481481481481481
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,1.0,accuracy,0.7175925925925926
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,1.0,accuracy,0.6597222222222221
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,1.0,accuracy,0.6736111111111112
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,0.1,accuracy,0.3055555555555556
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,0.1,accuracy,0.17592592592592593
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,0.1,accuracy,0.3217592592592593
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,0.1,accuracy,0.1921296296296296
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,0.1,accuracy,0.28472222222222227
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,0.1,accuracy,0.3101851851851852
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,0.01,accuracy,0.17129629629629625
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,0.01,accuracy,0.23842592592592593
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,0.01,accuracy,0.17129629629629625
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,0.01,accuracy,0.23842592592592593
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,0.01,accuracy,0.17361111111111108
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,0.01,accuracy,0.19444444444444442
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,0.5,accuracy,0.5833333333333333
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,0.5,accuracy,0.5393518518518519
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,0.5,accuracy,0.5925925925925926
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,0.5,accuracy,0.5300925925925926
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,0.5,accuracy,0.5694444444444445
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,0.5,accuracy,0.6087962962962963
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,KH,1.0,accuracy,0.6921296296296298
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,KH,1.0,accuracy,0.6504629629629629
