backbone,tsk_pretext,d_pretext,head_pred,ft_strategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,AD,kNN-2,Full Finetune,HAR,KH,1.0,accuracy,0.7060185185185185
aLLM4TS,aLLM4TS,AD,kNN-3,Full Finetune,HAR,KH,1.0,accuracy,0.7152777777777778
aLLM4TS,aLLM4TS,AD,kNN-5,Full Finetune,HAR,KH,1.0,accuracy,0.6921296296296297
aLLM4TS,aLLM4TS,AD,kNN-2,Full Finetune,HAR,KH,1.0,accuracy,0.6087962962962964
aLLM4TS,aLLM4TS,AD,kNN-3,Full Finetune,HAR,KH,1.0,accuracy,0.625
aLLM4TS,aLLM4TS,AD,kNN-5,Full Finetune,HAR,KH,1.0,accuracy,0.6226851851851852
aLLM4TS,aLLM4TS,AD,kNN-2,Partial Freeze,HAR,KH,1.0,accuracy,0.6643518518518517
aLLM4TS,aLLM4TS,AD,kNN-3,Partial Freeze,HAR,KH,1.0,accuracy,0.6967592592592592
aLLM4TS,aLLM4TS,AD,kNN-5,Partial Freeze,HAR,KH,1.0,accuracy,0.7175925925925926
aLLM4TS,aLLM4TS,AD,kNN-2,Partial Freeze,HAR,KH,1.0,accuracy,0.6481481481481481
aLLM4TS,aLLM4TS,AD,kNN-3,Partial Freeze,HAR,KH,1.0,accuracy,0.6388888888888888
aLLM4TS,aLLM4TS,AD,kNN-5,Partial Freeze,HAR,KH,1.0,accuracy,0.6574074074074074
aLLM4TS,aLLM4TS,AD,kNN-2,Freeze,HAR,KH,1.0,accuracy,0.47685185185185186
aLLM4TS,aLLM4TS,AD,kNN-3,Freeze,HAR,KH,1.0,accuracy,0.4791666666666667
aLLM4TS,aLLM4TS,AD,kNN-5,Freeze,HAR,KH,1.0,accuracy,0.48148148148148145
aLLM4TS,aLLM4TS,AD,kNN-2,Freeze,HAR,KH,1.0,accuracy,0.4328703703703704
aLLM4TS,aLLM4TS,AD,kNN-3,Freeze,HAR,KH,1.0,accuracy,0.4328703703703704
aLLM4TS,aLLM4TS,AD,kNN-5,Freeze,HAR,KH,1.0,accuracy,0.4513888888888889
aLLM4TS,aLLM4TS,AD,kNN-2,Full Finetune,HAR,KH,0.1,accuracy,0.27546296296296297
aLLM4TS,aLLM4TS,AD,kNN-3,Full Finetune,HAR,KH,0.1,accuracy,0.2916666666666667
aLLM4TS,aLLM4TS,AD,kNN-5,Full Finetune,HAR,KH,0.1,accuracy,0.3055555555555555
aLLM4TS,aLLM4TS,AD,kNN-2,Full Finetune,HAR,KH,0.1,accuracy,0.3171296296296296
aLLM4TS,aLLM4TS,AD,kNN-3,Full Finetune,HAR,KH,0.1,accuracy,0.2824074074074074
aLLM4TS,aLLM4TS,AD,kNN-5,Full Finetune,HAR,KH,0.1,accuracy,0.3148148148148148
aLLM4TS,aLLM4TS,AD,kNN-2,Partial Freeze,HAR,KH,0.1,accuracy,0.2569444444444444
aLLM4TS,aLLM4TS,AD,kNN-3,Partial Freeze,HAR,KH,0.1,accuracy,0.2824074074074074
