name,path,dataset_name,patch_size,stride,pretrain_dataset,normalization,percent,ft_strategy,head,train_embedding,test_embedding,n_neighbors,exp_no,accuracy
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/test_projections_after_training.npy,2,2,0.6666666666666666
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/test_projections_after_training.npy,3,2,0.7130434782608696
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/test_projections_after_training.npy,5,2,0.7333333333333333
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/test_projections_after_training.npy,2,0,0.5826086956521739
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/test_projections_after_training.npy,3,0,0.6115942028985507
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/test_projections_after_training.npy,5,0,0.618840579710145
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,2,1,0.5652173913043478
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,3,1,0.5971014492753624
UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac,UCI,8,8,AE,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/UCI_patch-8_stride-8_aLLM4TS-AE_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_UCI_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,5,1,0.6202898550724638
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,2,1,0.1984126984126984
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,3,1,0.20531400966183574
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,5,1,0.21325051759834368
